1000,吧员
1001,保安
1002,保洁
1003,部长
1004,财务经理
1005,财务总监
1006,采购
1007,茶艺师
1008,成本会计
1009,厨师
1010,厨师长
1011,传菜
1012,刺身
1013,打荷
1014,点菜员
1015,点心
1016,店长
1017,服务员
1018,供货商
1019,锅底
1020,烘焙师
1021,稽核
1022,煎档
1023,酒店经营者
1024,酒店投资人
1025,酒店总经理
1026,咖啡师
1027,烤鸭师
1028,库管
1029,会计
1030,拉面师
1031,凉菜
1032,领班
1033,领位
1034,楼层经理
1035,炉头
1036,卤水
1037,面点
1038,刨肉师
1039,品牌策划总监
1040,前厅经理
1041,切配
1042,人事
1043,上（什）杂
1044,烧烤师
1045,烧腊
1046,设计
1047,食雕
1048,收银员
1049,水台
1050,调酒师
1051,铁板
1052,万能工
1053,洗碗工
1054,小时工
1055,行政文员
1056,行政主厨
1057,选址总监
1058,学徒
1059,研发总监
1060,验货
1061,迎宾
1062,营销经理
1063,运营总监
1064,杂工
1065,择菜
1066,招商加盟总监
1067,砧板/切墩
1068,主管
1069,主管会计